feature,model_importance,corr_with_predicted_tau,corr_with_true_tau,selected_mean,non_selected_mean,selected_minus_non_selected
f6,0.06816293438498194,0.7792462330723559,0.5538561607893516,1.3689184477325755,0.9674975211665352,0.40142092656604034
f8,0.037235096307968604,0.4245265688275102,0.30857019982874007,0.6620234246201377,-0.13116238377081138,0.7931858083909491
f9,0.024465230739246883,0.278657560232341,0.17499937418664185,1.8988285869127912,1.4590739663317074,0.43975462058108383
f2,0.018189970567825172,-0.18536346666281459,-0.07766044365240728,-0.3031121960724443,0.05957669218633615,-0.36268888825878043
f0,0.017641120048858042,-0.16959226418364615,-0.1180726984239939,-0.23828212153574382,0.04832975132031724,-0.28661187285606105
f11,0.011872225218293122,0.14112867994211453,0.09173500459115486,0.1912911108449152,-0.03661814947650356,0.22790926032141878
f1,0.009651935882695516,0.15277743279623368,0.07781612169898174,1.228984656733545,1.0716712601538194,0.15731339657972554
f3,0.009148664883504298,0.1505751762918859,0.10185798404242886,2.373037147899161,1.9851385497148342,0.3878985981843268
f10,0.00691629127735058,0.06381567008955565,0.03113672494845904,0.024555850389329257,-0.0058114993103633725,0.03036734969969263
f5,0.003447278163575233,0.04774945032376163,0.026515698855462417,0.08164567410429167,-0.013830626419092952,0.09547630052338463
f4,0.0027829333191739963,-0.029787574483948705,-0.0028341988046913062,-0.039141972766566495,0.00894690986836837,-0.04808888263493487
f7,0.0004556279922730016,0.04525167262126376,0.028684100716817477,0.08279921405650686,-0.017728924568665642,0.10052813862517251
